brand,model,year,flex,shape,price,available_lengths,ground_tricks,park,carving,run_tricks,powder,image_url,url
DEATH LABEL,KINTONE,2026,5,hybrid_camber,49500,148 / 152 / 155,5,4,5,6,7,,
DRAKE,DF,2026,5,hybrid_camber,66000,150 / 153 / 156 / 159,6,7,5,6,4,,
DRAKE,DFL,2026,4,hybrid_camber,60500,138 / 142 / 146 / 150,6,6,5,5,4,,
DRAKE,League,2026,3,rocker,52800,148 / 152 / 156,7,6,3,4,5,,
DRAKE,Misty,2026,4,hybrid_camber,60500,141 / 145 / 149 / 152,7,7,5,6,5,,
DRAKE,Squad,2026,4,hybrid_camber,55000,148 / 151 / 154 / 157,7,7,4,5,3,,
DRAKE,Team,2026,6,hybrid_camber,71500,152 / 155 / 158,5,6,6,6,5,,
ENDEAVOR,Archetype,2026,5,hybrid_camber,77000,148 / 152 / 156 / 160,6,7,6,6,5,,
ENDEAVOR,BOD,2026,5,hybrid_camber,74800,150 / 153 / 156,7,7,5,6,5,,
ENDEAVOR,Clout,2026,4,double_camber,74800,149 / 152 / 155 / 158,8,8,4,5,3,,
ENDEAVOR,High 5,2026,6,camber,71500,152 / 155 / 158 / 161,5,5,7,7,5,,
ENDEAVOR,Live,2026,6,hybrid_camber,82500,152 / 155 / 158 / 161,5,5,7,7,6,,
ENDEAVOR,Pioneer,2026,6,camber,82500,154 / 157 / 160 / 163,4,5,8,7,7,,
ENDEAVOR,Ranger,2026,7,camber,88000,155 / 158 / 161 / 164,3,3,8,7,8,,
ENDEAVOR,Scout,2026,5,hybrid_camber,71500,150 / 153 / 156 / 159,6,7,6,6,5,,
FANATIC,Autobahn,2026,8,camber,88000,155 / 158 / 161 / 164,2,2,9,7,5,,
FANATIC,BT,2026,3,flat,66000,148 / 150 / 152 / 154,9,7,3,5,3,,
FANATIC,FTC,2026,5,hybrid_camber,110000,148 / 151 / 154 / 157,6,6,7,7,5,,
FANATIC,Kaiser,2026,6,hybrid_camber,77000,152 / 155 / 158 / 161,5,5,7,7,6,,
FANATIC,TRICKMASTER,2026,3,double_camber,99000,142 / 147 / 150 / 153,10,7,3,5,2,,
FNTC,AND,2026,6,double_camber,69300,148 / 150 / 153 / 155 / 158,8,6,7,7,5,,
FNTC,CAT,2026,5,hybrid_camber,66000,150 / 153 / 155 / 157,6,6,7,7,6,,
FNTC,CVT,2026,7,camber,72600,150 / 153 / 155 / 158,3,3,9,6,5,,
FNTC,DCC,2026,7,camber,72600,150 / 153 / 155 / 157 / 160,3,3,9,7,6,,
FNTC,SOT,2026,1,rocker,65780,143 / 147 / 150 / 153,10,8,2,3,3,,
FNTC,SSS,2026,2,double_camber,59400,143 / 147 / 150 / 153,10,7,2,4,3,,
FNTC,TNT C,2026,3,hybrid_camber,66000,148 / 150 / 153,9,8,4,5,3,,
FNTC,TNT L,2026,3,double_camber,63800,138 / 141 / 144 / 147,10,7,3,5,3,,
FNTC,TNT R,2026,3,double_camber,69300,147 / 150 / 153 / 155,10,7,3,5,3,,
GENTEMSTICK,Floater,2026,5,rocker,165000,153,4,3,5,6,10,,
GENTEMSTICK,Mantaray,2026,6,rocker,165000,156,2,1,5,5,10,,
GENTEMSTICK,Rocket Fish,2026,6,rocker,159500,154,2,2,6,5,10,,
GENTEMSTICK,Slasher II,2026,5,rocker,165000,149,5,4,5,6,9,,
GENTEMSTICK,Speedmaster,2026,8,camber,198000,162,2,2,9,7,7,,
GENTEMSTICK,Spoon Fish,2026,5,rocker,154000,144,3,2,5,5,9,,
GENTEMSTICK,Stingray,2026,6,rocker,170500,161,2,1,6,5,10,,
GENTEMSTICK,T.T 158,2026,6,hybrid_camber,176000,158,4,3,7,7,8,,
GENTEMSTICK,T.T 165 Classic,2026,7,camber,187000,165,1,1,8,6,9,,
GENTEMSTICK,Trinity,2026,6,hybrid_camber,187000,156,3,3,7,7,9,,
GENTEMSTICK,Zephyr,2026,6,hybrid_camber,176000,152,4,4,7,7,8,,
GNU,Antigravity,2026,6,hybrid_camber,88000,150 / 153 / 156 / 159 / 162,5,6,8,8,7,,https://www.gnu.com/snowboards/antigravity
GNU,Banked Country,2026,7,hybrid_camber,93500,155 / 158 / 161 / 164,3,3,8,7,9,,https://www.gnu.com/snowboards/banked-country
GNU,Barrett,2026,5,hybrid_camber,79200,143 / 146 / 149 / 152,6,7,6,6,5,,
GNU,Essential Service,2026,6,hybrid_camber,88000,152 / 155 / 158 / 161,5,6,7,7,6,,
GNU,Gloss,2026,3,rocker,46200,139 / 142 / 146,8,6,3,4,5,,
GNU,Headspace,2026,5,hybrid_camber,82500,149 / 152 / 155 / 158 / 161,7,7,6,7,6,,https://www.gnu.com/snowboards/headspace
GNU,Impossible,2026,5,hybrid_camber,82500,148 / 151 / 155 / 159,7,7,5,6,5,,
GNU,Klassy,2026,6,hybrid_camber,82500,142 / 146 / 149 / 152,5,5,7,7,8,,https://www.gnu.com/snowboards/klassy
GNU,Money,2026,4,hybrid_camber,72600,147 / 150 / 153 / 156,8,8,4,6,5,,https://www.gnu.com/snowboards/money
GNU,Ravish,2026,5,hybrid_camber,77000,139 / 143 / 147 / 150 / 153,6,6,7,7,6,,https://www.gnu.com/snowboards/ravish
GNU,Riders Choice,2026,6,hybrid_camber,108900,151 / 154 / 157 / 160,6,6,7,8,7,,https://www.gnu.com/snowboards/riders-choice
GNU,T.R.E.,2026,6,hybrid_camber,88000,155 / 158 / 161,4,4,8,7,7,,
GNU,Upgrade,2026,5,hybrid_camber,60500,149 / 152 / 155 / 158,7,8,4,5,4,,
GNU,Velvet,2026,4,hybrid_camber,71500,140 / 143 / 146 / 149 / 152,7,7,5,6,5,,https://www.gnu.com/snowboards/velvet
GRAY,DESPERADO,2026,8,camber,132000,152 / 155 / 157 / 159 / 162,2,2,10,7,5,,
GRAY,EPIC,2026,10,camber,143000,156 / 159 / 162,1,2,10,4,3,,
GRAY,FORCE,2026,9,camber,143000,155 / 158 / 161,1,1,10,6,5,,
GRAY,GENIUS,2026,5,hybrid_camber,99000,148 / 150 / 152 / 154 / 156,7,7,5,6,4,,
GRAY,LOVEBUZZ 52,2026,3,flat,77000,152,9,7,3,5,3,,
GRAY,LOVEBUZZ 57,2026,4,rocker,82500,157,8,6,3,5,7,,
GRAY,PRODIGY,2026,5,hybrid_camber,99000,145 / 148 / 151 / 154,6,6,7,7,5,,
GRAY,QUADRA,2026,9,camber,143000,155 / 158 / 162,1,1,10,5,3,,
GRAY,SONICALMACH,2026,9,camber,154000,154 / 155 / 158,1,1,10,5,2,,
GRAY,TRICKSTICK,2026,4,double_camber,110000,148 / 150 / 152 / 155,9,8,4,6,3,,
GRAY,TYCOON,2026,8,camber,132000,152 / 155 / 158 / 162,2,2,10,6,3,,
HEAD,Beam,2026,6,hybrid_camber,71500,152 / 155 / 158 / 161,5,5,7,7,6,,
HEAD,Daymaker,2026,5,hybrid_camber,66000,149 / 152 / 155 / 158,7,7,5,6,5,,https://www.head.com/en_US/daymaker-snowboard
HEAD,Kizamu,2026,9,hybrid_camber,93500,150 / 153 / 156 / 159 / 162,4,4,9,7,5,,
HEAD,Powerhouse,2026,8,camber,88000,157 / 160 / 163,2,2,9,7,5,,
HEAD,Pride,2026,5,hybrid_camber,71500,139 / 143 / 147 / 150 / 153,6,6,7,7,6,,https://www.head.com/en_US/pride-snowboard
HEAD,Rush,2026,4,hybrid_camber,55000,148 / 152 / 156 / 160,6,6,5,5,5,,
HEAD,Shine LYT,2026,4,hybrid_camber,60500,138 / 142 / 146 / 149,7,7,5,6,5,,https://www.head.com/en_US/shine-lyt-snowboard
HEAD,Solace,2026,7,camber,77000,155 / 158 / 161,4,4,8,7,5,,
HEAD,True,2026,6,hybrid_camber,77000,152 / 155 / 158 / 160 / 163,5,6,7,8,7,,https://www.head.com/en_US/true-snowboard
JONES,Aviator 2.0,2026,7,camber,104500,156 / 158 / 160 / 162 / 164,3,3,9,8,6,,
JONES,Dream Catcher,2026,5,hybrid_camber,58300,142 / 145 / 148 / 151 / 154,5,5,6,6,7,,
JONES,Flagship,2026,8,hybrid_camber,110000,155 / 158 / 161 / 164 / 167,2,2,9,8,9,,https://www.jonessnowboards.com/collections/mens-snowboards
JONES,Freecarver 6000s,2026,9,camber,99000,156 / 159 / 162,2,2,10,6,4,,
JONES,Frontier,2026,5,hybrid_camber,77000,152 / 156 / 158 / 162,6,5,7,7,8,,
JONES,Mind Expander,2026,6,rocker,93500,154 / 158 / 162,4,3,5,6,10,,
JONES,Mind Expander Twin,2026,6,hybrid_camber,82500,152 / 155 / 158 / 161,5,5,6,7,8,,
JONES,Mountain Twin,2026,6,hybrid_camber,88000,151 / 154 / 157 / 160 / 163,5,5,8,8,7,,
JONES,Storm Wolf,2026,7,hybrid_camber,88000,155 / 158 / 161 / 164,3,3,8,7,9,,
JONES,Stratos,2026,7,hybrid_camber,105600,152 / 155 / 158 / 161 / 164,3,3,8,8,8,,https://www.jonessnowboards.com/collections/mens-snowboards
JONES,Tweaker,2026,5,camber,82500,148 / 150 / 152 / 154 / 156,7,8,5,6,4,,https://www.jonessnowboards.com/collections/mens-snowboards
JONES,Twin Sister,2026,5,hybrid_camber,60500,143 / 146 / 149 / 152,6,6,6,7,6,,
JONES,Ultra Flagship,2026,8,camber,143000,155 / 158 / 161 / 164,2,2,9,8,9,,
JONES,Ultra Mind Expander,2026,6,rocker,115500,154 / 158 / 162,3,3,6,6,9,,
JONES,Women's Flagship,2026,6,camber,99000,146 / 149 / 152 / 155,3,4,8,7,8,,
JONES,Women's Stratos,2026,6,hybrid_camber,99000,143 / 146 / 149 / 152 / 155,3,3,8,8,8,,https://www.jonessnowboards.com/collections/womens-snowboards
K2,Afterblack,2026,5,hybrid_camber,77000,152 / 155 / 158 / 160,6,7,6,7,6,,
K2,Almanac,2026,6,hybrid_camber,77000,152 / 155 / 158,4,4,7,7,8,,
K2,Commonwealth,2026,6,hybrid_camber,72600,152 / 155 / 158 / 161,5,5,7,7,6,,
K2,Dreamsicle,2026,3,rocker,55000,142 / 146 / 149 / 152,8,7,3,4,5,,
K2,Embassy,2026,7,hybrid_camber,82500,155 / 158 / 161 / 164,3,3,8,7,8,,
K2,Excavator,2026,7,hybrid_camber,82500,155 / 158 / 161 / 164,3,3,7,6,9,,
K2,Freeloader,2026,4,rocker,71500,148 / 151 / 154 / 157,7,7,4,6,6,,
K2,Hypnotist,2026,4,hybrid_camber,63800,148 / 151 / 154 / 157,7,8,4,5,3,,
K2,Lime Lite,2026,4,hybrid_camber,49500,142 / 146 / 149,6,6,5,6,5,,
K2,Manifest,2026,6,hybrid_camber,88000,154 / 158 / 160 / 162,3,4,9,7,7,,
K2,Party Platter,2026,5,hybrid_camber,71500,147 / 150 / 152 / 155 / 158,7,6,5,6,8,,
K2,Passport,2026,6,hybrid_camber,88000,152 / 155 / 158 / 162,5,5,7,7,8,,
K2,Spellcaster,2026,5,hybrid_camber,63800,142 / 145 / 148 / 151,5,6,5,6,6,,
K2,Standard,2026,4,rocker,60500,147 / 152 / 155 / 158,8,6,4,5,6,,
KORUA,Apollo,2026,7,hybrid_camber,93500,155 / 158 / 161,3,3,7,7,8,,
KORUA,Cafe Racer,2026,7,camber,115500,156 / 160 / 164,2,2,9,7,7,,
KORUA,Dart,2026,7,camber,110000,155 / 159 / 163,2,2,9,7,7,,
KORUA,Otto,2026,6,hybrid_camber,104500,154 / 158 / 162,3,3,8,7,8,,
KORUA,Pencil,2026,6,rocker,115500,157 / 164 / 170,1,1,6,5,10,,
KORUA,Pocket Rocket,2026,6,hybrid_camber,79200,146 / 150 / 154,5,5,6,7,8,,
KORUA,Tranny Finder,2026,5,rocker,99000,148 / 152 / 156 / 160,5,4,5,6,9,,
KORUA,Transition Finder,2026,6,hybrid_camber,85800,152 / 156 / 160,4,4,6,7,8,,
LIB TECH,Apex Orca,2026,8,hybrid_camber,176000,153 / 156 / 159,2,2,8,7,10,,
LIB TECH,Bent Metal,2026,5,camber,57200,140 / 143 / 147 / 150,5,6,7,6,5,,
LIB TECH,Birdman,2026,5,hybrid_camber,88000,151 / 154 / 157 / 160,6,7,6,7,5,,
LIB TECH,Box Knife,2026,6,hybrid_camber,88000,151 / 154 / 157 / 160,5,7,7,8,6,,https://www.lib-tech.com/snowboards/box-knife
LIB TECH,Cold Brew,2026,5,hybrid_camber,82500,149 / 153 / 155 / 157 / 160,7,7,6,7,6,,https://www.lib-tech.com/snowboards/cold-brew
LIB TECH,Cortado,2026,5,hybrid_camber,77000,140 / 143 / 146 / 149 / 152,7,7,6,6,6,,https://www.lib-tech.com/snowboards/cortado
LIB TECH,Dynamo,2026,6,hybrid_camber,88000,153 / 156 / 159 / 162,5,5,7,8,7,,https://www.lib-tech.com/snowboards/dynamo
LIB TECH,Ejack Knife,2026,5,hybrid_camber,77000,148 / 151 / 154 / 157,7,8,5,6,5,,https://www.lib-tech.com/snowboards/ejack-knife
LIB TECH,Glider,2026,6,hybrid_camber,82500,143 / 146 / 149 / 152 / 155,5,5,7,7,8,,https://www.lib-tech.com/snowboards/glider
LIB TECH,Golden Orca,2026,8,hybrid_camber,115500,153 / 156 / 159 / 162 / 165,2,3,8,7,10,,https://www.lib-tech.com/snowboards/golden-orca
LIB TECH,Legitimizer,2026,4,hybrid_camber,66000,148 / 151 / 154 / 157,8,8,3,5,3,,
LIB TECH,Off Ramp,2026,4,camber,60500,148 / 151 / 154 / 157,7,8,4,5,3,,
LIB TECH,Orca,2026,6,hybrid_camber,99000,144 / 147 / 150 / 153 / 156 / 159,4,4,7,7,9,,https://www.lib-tech.com/snowboards/orca
LIB TECH,Skate Banana,2026,4,rocker,77000,148 / 152 / 154 / 156 / 159,9,8,4,5,5,,https://www.lib-tech.com/snowboards/skate-banana
LIB TECH,Skunk Ape,2026,7,hybrid_camber,104500,157 / 161 / 165 / 170,2,3,7,6,9,,
LIB TECH,T.Rice Orca,2026,7,hybrid_camber,104500,150 / 153 / 156 / 159 / 162,3,3,8,8,9,,https://www.lib-tech.com/snowboards/t-rice-orca
LIB TECH,T.Rice Pro,2026,7,hybrid_camber,110000,153 / 155 / 157 / 161 / 164,4,5,8,8,8,,https://www.lib-tech.com/snowboards/t-rice-pro
LIB TECH,T.Rice Pro Camber,2026,7,camber,71500,153 / 155 / 157 / 159 / 161,5,6,7,7,6,,
LIB TECH,Terrain Wrecker,2026,6,hybrid_camber,82500,150 / 153 / 156 / 159 / 162,6,6,7,7,7,,https://www.lib-tech.com/snowboards/terrain-wrecker
LOBSTER,Jibboard,2026,3,rocker,57200,148 / 151 / 153 / 155,9,8,3,4,3,,
LOBSTER,Sender,2026,6,hybrid_camber,62700,152 / 155 / 157 / 159,5,6,7,7,6,,
MARHAR,Darkside,2026,5,hybrid_camber,71500,150 / 153 / 156 / 159,6,7,6,6,5,,
MARHAR,Lumberjack,2026,6,camber,79200,153 / 156 / 159 / 162,4,5,8,7,7,,
MARHAR,Sasquatch,2026,7,hybrid_camber,77000,156 / 159 / 162,3,3,7,7,8,,
MOSS,CIRCUS,2026,4,double_camber,99000,145 / 148 / 150 / 153,9,7,4,5,3,,
MOSS,EBIS,2026,4,double_camber,88000,148 / 150 / 152 / 154,8,7,4,6,4,,
MOSS,FIFTY-FIFTY,2026,5,hybrid_camber,99000,150 / 153 / 156,6,6,6,7,7,,
MOSS,KING,2026,5,hybrid_camber,104500,150 / 153 / 155 / 158 / 160,6,6,7,7,7,,
MOSS,LEGIT,2026,6,hybrid_camber,104500,148 / 152 / 155 / 158,5,5,7,7,6,,
MOSS,REVOLVER,2026,9,camber,121000,155 / 158 / 161,2,3,10,6,4,,
MOSS,RRR,2026,7,camber,121000,152 / 155 / 158 / 162,3,3,8,7,6,,
MOSS,TOTO,2026,5,hybrid_camber,99000,150 / 153 / 156 / 159,5,5,7,7,6,,
MOSS,TWISTER,2026,4,hybrid_camber,99000,145 / 148 / 150 / 153 / 155,9,7,4,6,4,,
NEVER SUMMER,Infinity,2026,5,hybrid_camber,99000,142 / 145 / 149 / 152,6,6,6,7,6,,
NEVER SUMMER,Proto Type 3,2026,6,hybrid_camber,88000,152 / 155 / 157 / 160,6,6,6,7,6,,
NEVER SUMMER,Proto Ultra,2026,5,hybrid_camber,99000,148 / 151 / 154 / 157,6,7,6,6,5,,
NEVER SUMMER,Swift,2026,7,hybrid_camber,110000,155 / 158 / 161 / 164,3,3,8,8,7,,
NEVER SUMMER,Valhalla,2026,7,hybrid_camber,93500,155 / 158 / 161,3,4,8,7,7,,
NIDECKER,Blade,2026,8,camber,93500,156 / 159 / 162,2,2,10,6,4,,
NIDECKER,Megalight,2026,6,hybrid_camber,88000,152 / 155 / 158 / 161,5,5,7,7,7,,
NIDECKER,Merc,2026,6,hybrid_camber,82500,155 / 158 / 161 / 164,4,5,8,7,6,,
NIDECKER,Score,2026,4,rocker,57200,149 / 152 / 155 / 158,7,7,4,5,5,,
NIDECKER,Sensor,2026,5,hybrid_camber,74800,152 / 155 / 158 / 161,6,6,6,7,6,,
NIDECKER,Sensor Mons,2026,5,hybrid_camber,77000,149 / 152 / 155 / 158,7,7,5,6,4,,
NIDECKER,Venus,2026,4,hybrid_camber,68200,142 / 146 / 149 / 152,7,7,5,6,5,,
NITRO,Arial,2026,4,hybrid_camber,63800,142 / 146 / 149 / 152,7,7,5,6,5,,
NITRO,Beast,2026,9,camber,104500,151 / 155 / 158 / 162,2,3,9,8,8,,https://www.nitrosnowboards.com/en/beast
NITRO,Cheap Thrills,2026,5,camber,60500,148 / 152 / 155 / 157,8,9,3,5,3,,https://www.nitrosnowboards.com/en/cheap-thrills
NITRO,Cinema,2026,5,rocker,55000,152 / 155 / 159 / 162,9,8,3,4,4,,https://www.nitrosnowboards.com/en/cinema
NITRO,Drop,2026,5,hybrid_camber,71500,143 / 146 / 149 / 152 / 155,6,6,7,7,6,,https://www.nitrosnowboards.com/en/drop
NITRO,Fate,2026,5,camber,77000,143 / 147 / 150 / 153,5,6,7,7,6,,https://www.nitrosnowboards.com/en/fate
NITRO,Fintwin,2026,7,camber,77000,149 / 154,7,7,5,6,6,,
NITRO,Magnum,2026,7,camber,82500,159 / 163 / 167 / 171,4,5,8,7,7,,https://www.nitrosnowboards.com/en/magnum
